original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$14.99 ,0,US$35.22 ,  Oct 1  2015,  [Positive],402609,  [Indie- Documentary- Game Development- Episodic- Gaming]
US$9.99 ,0,0,  Dec 15  2006,  [Very Positive- Very Positive],15280,  [Simulation- Flight- World War II- Military- Historical- TrackIR- Multiplayer- Realistic- Action- Classic]
US$4.99 ,0,0,  Mar 26  2015,  [Mostly Positive],351870,  [Strategy- RTS- City Builder]
US$5.99 ,0,0,  Aug 29  2014,  [Positive],298830,  [RPG- Indie- Female Protagonist- Adventure- RPGMaker- Casual- Exploration- Story Rich- Great Soundtrack- Replay Value- Episodic- Fantasy- JRPG]
US$19.99 ,0,0,  Nov 26  2013,  [Mixed],257650,  [Utilities- Software- Programming- Game Development- Video Production- Audio Production- Software Training- Design & Illustration]
US$4.99 ,0,0,  Jun 17  2005,  [Very Positive],361380,  [Strategy- World War I- RTS]
US$2.99 ,0,0,  Sep 23  2016,  [Positive],457380,  [Early Access- Simulation- Adventure- Indie- Casual- Episodic- Survival- VR]
US$0.99 ,0,0,  Apr 27  2015,  [Very Positive],361830,  [Action- Indie- Space]
US$2.99 ,0,0,  Oct 2  2013,  [Positive],399000,  [Action- Indie- Retro- 2D- Pixel Graphics- Ninja- Great Soundtrack- Platformer]
US$4.99 ,US$14.98 ,US$9.58 ,  May 20  2016,  [],471320,  [Indie]
US$4.99 ,0,0,  Mar 21  2012,  [Mixed],110630,  [Indie- Action- Twin Stick Shooter- Arcade]
US$5.99 ,0,US$27.85 ,  Nov 26  2014,  [Very Positive],335350,  [Simulation- Indie- Casual- Funny]
US$6.99 ,0,US$43.30 ,  Jan 20  2011,  [Mostly Positive],65080,  [Adventure- Point & Click- Sci-fi- Comedy]
US$14.99 ,0,0,  Nov 11  2009,  [Mixed],259720,  [Visual Novel- Anime- Indie- Simulation- Adventure- Dating Sim- Romance- RPG]
